Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"918 W Woodbridge Rd Lodi, CA 95242-9616",95242,2/18/2009,199900,2/24/2009,107.24,3/18/2009,199900
"661 Roper Ave Lodi, CA 95240-0923",95240,3/7/2009,189900,3/16/2009,130.62,4/21/2009,180000
"1727 Victoria Dr Lodi, CA 95242-4792",95242,2/19/2009,284900,2/27/2009,122.57,4/7/2009,290000
"2736 Madrone Dr Lodi, CA 95242-4636",95242,2/20/2009,284900,3/7/2009,182.28,4/6/2009,284900
"2325 Corbin Ln Lodi, CA 95242-3627",95242,3/11/2009,189900,3/25/2009,155.52,5/5/2009,193000
"300 Westwood Ave Lodi, CA 95242-2451",95242,3/31/2009,130000,6/22/2009,134.62,9/9/2009,140000
"2656 W Elm St Lodi, CA 95242-8304",95242,3/30/2009,330000,9/30/2009,172.32,10/20/2009,320000
"1105 W Harney Ln Lodi, CA 95240-7001",95240,3/12/2009,139900,3/20/2009,102.64,5/1/2009,140000
"2440 Inglewood Dr Lodi, CA 95242-9129",95242,3/13/2009,189900,6/19/2009,143.57,8/7/2009,173000
"1811 Normandy Ln Lodi, CA 95242-3449",95242,3/13/2009,315000,3/21/2009,161.62,5/1/2009,288000
"830 Ehrhardt Dr Lodi, CA 95240-4621",95240,3/4/2009,215000,4/7/2009,166.28,5/15/2009,213000
"2563 Douglas Fir Dr Lodi, CA 95242-8315",95242,3/13/2009,249000,3/20/2009,172.31,4/15/2009,249500
"418 Gerard Dr Lodi, CA 95242-2472",95242,3/19/2009,219000,3/23/2009,152.31,5/7/2009,214000
"2452 Montebello Way Lodi, CA 95240-8904",95240,3/18/2009,189900,4/6/2009,117.31,6/2/2009,202000
"306 Ravenwood Way Lodi, CA 95240-7839",95240,3/20/2009,145900,3/24/2009,133.85,5/21/2009,155000
"2526 Crown Pl Lodi, CA 95242-4787",95242,3/23/2009,360000,7/28/2009,123.41,8/14/2009,350000
"18862 Lilac St Woodbridge, CA 95258-9286",95258,3/6/2009,159900,3/16/2009,103.13,5/28/2009,165000
"806 Eucalyptus Ct Lodi, CA 95242-2189",95242,3/25/2009,289900,4/1/2009,142.86,5/14/2009,290000
"1127 S Crescent Lodi, CA 95240",95240,3/7/2009,215000,6/16/2009,130.72,7/24/2009,200000
"511 Massarosa Ln Lodi, CA 95240-8902",95240,3/7/2009,170000,5/13/2009,109.04,6/23/2009,186240
"623 N Lower Sacramento Rd Lodi, CA 95240",95240,3/6/2009,289000,3/11/2009,188.4,4/3/2009,289000
"2466 Legacy Way Lodi, CA 95242-4809",95242,4/14/2009,349500,4/14/2009,136.31,5/15/2009,328500
"1004 S Lee Ave Lodi, CA 95240-5245",95240,3/9/2009,174900,5/15/2009,112.52,6/25/2009,142000
"1514 Cardinal St Lodi, CA 95242-3809",95242,3/11/2009,169900,3/20/2009,105.99,4/20/2009,168000
